"Project name","Tromso herbarium code","BOLD code","Species","Family","NCBI TaxonID","NCBI corrected TaxonID","NCBI TaxonID note","Collection date","Collection month","Sample collector","Country","Sampling location","Sampling latitude","Sampling longitude","Sample age when extracted","Weight of extracted material","Extraction concentration (ng/uL)","library","read_count","Chloroplast length","Chloroplast contigs","Chloroplast coverage","nrDNA length","nrDNA contigs","nrDNA coverage"
"batch01","TROM_V_66325","TROM_V_66325_sg","Saxifraga platysepala","Saxifragaceae",1301454,1301454,,13/08/1986,"August","Engelskjon, Torstein","Norway","Norway, Nordenskiold Land, Svalbard, Reindalen E, Vegbreen N",78.0573,16.9266,31,0.0219,14.2,"BXA:CCW",11741470,149437,1,247.2,9308,1,542.8
"batch01","TROM_V_963892","TROM_V_963892_sg","Saxifraga rivularis","Saxifragaceae",93340,93340,,21/08/2002,"august","Alm, Torbjorn; Iversen, Marianne","Norway","Norway, Hammerfest, Finnmark, Seiland: pa ryggen vest for Spisstind/Suolovarri.",70.4198,23.0283,14,0.0196,8.4,"BMB:PG",8014108,151452,1,452.1,8972,1,314.2
"batch01","TROM_V_380088","TROM_V_380088_sg","Saxifraga rivularis","Saxifragaceae",93340,93340,,22/07/2002,"July","Skoglund, Trond; Breivik, ase Boilestad; Brun, Knut; Risdal, Trond","Norway","Norway, Fauske, Nordland, Vassavaggi.",67.061,16.1531,16,0.0229,1.87,"BXA:BQM",6264750,151516,1,286.9,"NA","NA","NA"
"batch01","TROM_V_965858","TROM_V_965858_sg","Saxifraga rosacea","Saxifragaceae",134792,134792,,27/06/2010,"June","Alm, Torbjorn; Gamst, Unni Bjerke","Norway","Norway, Harstad, Troms, Hinnoya: Kanbeogen, mellom Damveien og Kanebogelva ved trafostasjonen.",68.771,16.5443,7,0.0225,6.6,"BXA:BQQ",8451454,149938,1,366.8,6985,1,339
"batch01","TROM_V_149772","TROM_V_149772_sg","Saxifraga rotundifolia","Saxifragaceae",23265,23265,,18/05/2002,"May","Alm, Torbjorn; Gamst, Unni Bjerke","Norway","Norway, Tromso, Tromso, Tomasjord: nordost av Tomasjordnes, i bekkedal ovenfor hovedveien.",69.6722,19.033,16,0.022,3.38,"BXA:BQP",4964994,152260,1,151.2,"NA","NA","NA"
"batch01","TROM_V_200490","TROM_V_200490_sg","Saxifraga spinulosa","Saxifragaceae",1385505,1385505,,06/07/2004,"July","Alsos, Inger Greve; Tribsch, Andreas","Russian Federation","Russian Federation, Yamalo-Nenets Autonomous Okrug, [Russia] Yamalo-Nenetsky Autonimous Okrug, Polar Ural, Massiv Rayiz. Black mountains, valley of river Enga-Yu, E Chernaya mountains, ca. 13 km W Kharp.",68.8408,65.5,13,0.0415,21.6,"BXA:CCV",10052992,152651,1,142.9,7435,1,342.6
"batch01","TROM_V_202244","TROM_V_202244_sg","Saxifraga svalbardensis","Saxifragaceae",93341,93341,,23/07/2009,"July","Elven, Reidar","Norway","Norway, Prins Karls Forland, Svalbard, Fuglehuken, W side 1-2 km S of N point.",78.8837,10.482,9,0.0146,11.4,"CDM:AAR",7819280,151300,1,402,"NA","NA","NA"
"batch01","TROM_V_964912","TROM_V_964912_sg","Saxifraga umbrosa","Saxifragaceae",278078,278078,,21/10/2008,"October","Alm, Torbjorn","Norway","Norway, Harstad, Troms, Hinnoya: ved Bergveien nar Harstadbotn.",68.7815,16.536,9,0.0245,4.38,"BXA:BQN",9335098,152307,1,320.6,"NA","NA","NA"
"batch01","TROM_V_13417","TROM_V_13417_sg","Sceptridium multifidum","Ophioglossaceae",41914,41914,,24/08/1958,"August","Lanes, Kristian","Norway","Norway, Mestervik, Kristofferseter.",69.3368,18.9303,60,0.0513,26,"CDM:ATM",8294804,8668,15,12.3,"NA","NA","NA"
"batch01","TROM_V_126379","TROM_V_126379_sg","Scheuchzeria palustris","Scheuchzeriaceae",29653,29653,,14/08/1984,"August","Edvardsen, Hanne; Moe, Bjorn","Norway","Norway, Sor-Varanger, Finnmark, ovre Pasevik, Birrivarajaenge.",69.11,29.1652,34,0.0195,6.7,"BXA:CAP",9690480,157256,1,263.4,"NA","NA","NA"
