DB_ID,SAMPLE_ENA_AC,Sample_ID,Project_name,Submission_Batch_Name,Scientific_Name,Taxon_family,NCBI_ID,Herbarium_voucher,Plant_developmental_stage,Sampling_Collector,Sampling_Organisation,Sampling_date,Sampling_location,Sampling_location_x,Sampling_location_y,Extraction_code,Extract_weight_(mg),Extract_concentration,Sequencing_date,Sequencing_organization,Sequencing_ID
PHA000540,ERS8751937,540,PhyloAlps,Orthoskim,Androsace pubescens DC.,Primulaceae,229451,GR001625,living plant material,Jean-Charles Villaret,Conservatoire Botanique National Alpin (CBNA),2009-07-02,Isère (FR). Allemond.,6.00196499695489,45.1674659943599,00_P02,9,19.69,2012,Genoscope,NA
PHA000552,ERS8751946,552,PhyloAlps,Orthoskim,Androsace septentrionalis L.,Primulaceae,184985,GR000045,living plant material,"Laboratoire d'Ecologie Alpine (LECA UMR 5553), Conservatoire Botanique National Alpin (CBNA)","Laboratoire d'Ecologie Alpine (LECA UMR 5553), Conservatoire Botanique National Alpin (CBNA)",NA,Hautes-Alpes (FR). Ristolas.,6.96597999560711,44.7737399947227,05_H01,9,5.36,2014-10-29,Genoscope,BGN_IG
PHA000767,ERS8751952,767,PhyloAlps,Orthoskim,Arbutus unedo L.,Ericaceae,84005,GR000692,living plant material,"Laboratoire d'Ecologie Alpine (LECA UMR 5553), Conservatoire Botanique National Méditerranéen (CBNMed)","Laboratoire d'Ecologie Alpine (LECA UMR 5553), Conservatoire Botanique National Méditerranéen (CBNMed)",2009-06-11,Alpes-Maritimes (FR). Clans. ,7.1372028340803,44.0051959257581,45_E04,20,11,2016-01-27,Genoscope,BGN_KKG
PHA000781,ERS8751957,781,PhyloAlps,Orthoskim,Arctostaphylos uva-ursi (L.) Sprengel,Ericaceae,84009,GR001087,living plant material,"Laboratoire d'Ecologie Alpine (LECA UMR 5553), Conservatoire Botanique National Méditerranéen (CBNMed)","Laboratoire d'Ecologie Alpine (LECA UMR 5553), Conservatoire Botanique National Méditerranéen (CBNMed)",2009-06-09,Alpes-Maritimes (FR). Guillaumes. ,6.86906576207897,44.0794987096267,03_E03,19,21.32,2013,BGI,RSZ:RSZAXPI000940-64
PHA001461,ERS8751960,1461,PhyloAlps,Orthoskim,Calluna vulgaris (L.) Hull,Ericaceae,13385,GR001992,living plant material,"Laboratoire d'Ecologie Alpine (LECA UMR 5553), Station Alpine Joseph Fourier (UMS 3370)","Laboratoire d'Ecologie Alpine (LECA UMR 5553), Station Alpine Joseph Fourier (UMS 3370)",2009-04-30,Isère (FR). Seyssinet-Pariset. Les Vouillants,5.67904398827694,45.1838533169371,03_H02,18,13.6,2013,BGI,RSZ:RSZAXPI001450-44
PHA002728,ERS8751966,2728,PhyloAlps,Orthoskim,Cyclamen purpurascens Mill.,Primulaceae,87532,GR004388,living plant material,Adrian Möhl,Info Flora,2010-07-22,Canton du Tessin (CH). Rovio. Auf Weg zum Wasserfall. ,8.99525347271552,45.9325792257326,06_C06,17,41.2,2014-10-01,Genoscope,BGN_PP
PHA003225,ERS8751973,3225,PhyloAlps,Orthoskim,Empetrum nigrum L. subsp. hermaphroditum (Hagerup) Böcher,Ericaceae,199171,GR001764,living plant material,"Laboratoire d'Ecologie Alpine (LECA UMR 5553), Station Alpine Joseph Fourier (UMS 3370)","Laboratoire d'Ecologie Alpine (LECA UMR 5553), Station Alpine Joseph Fourier (UMS 3370)",2009-07-04,Hautes-Alpes (FR). Villard-d'Arène. Col du Lautaret.,6.40837733070351,45.0326204231669,26_B10,15,8.84,2016-01-14,Genoscope,BGN_HSG
PHA003227,ERS8751979,3227,PhyloAlps,Orthoskim,Empetrum nigrum L.,Ericaceae,191066,GR003520,living plant material,Sonia Latzin,"Swiss Federal Institute for Forest, Snow and Landscape Research (WSL)",2009-08-23,Steiermark (AT). Politischer Bezirk Leoben. Eisenerz,14.96532,47.53621,04_C02,18,6.56,2013,BGI,RSZ:RSZAXPI000830-22
PHA003341,ERS8751987,3341,PhyloAlps,Orthoskim,Erica arborea L.,Ericaceae,270431,,living plant material,Adrian Möhl,Info Flora,2012-04-28,Canton du Valais (CH). Brig. Achera Biela.,8.0129166825058,46.3193853932895,04_A05,19,5,2013,BGI,RSZ:RSZAXPI001351-80
PHA003342,ERS8751991,3342,PhyloAlps,Orthoskim,Erica herbacea L.,Ericaceae,185769,GR002577,living plant material,"Laboratoire d'Ecologie Alpine (LECA UMR 5553), Conservatoire Botanique National Méditerranéen (CBNMed)","Laboratoire d'Ecologie Alpine (LECA UMR 5553), Conservatoire Botanique National Méditerranéen (CBNMed)",NA,Alpes-Maritimes (FR). La Brigue.,7.5708667,44.0487,35_F06,22,20.96,2015-12-02,Genoscope,BGN_GTE
PHA003345,ERS8752002,3345,PhyloAlps,Orthoskim,Erica scoparia L.,Ericaceae,270444,GR001941,living plant material,Sébastien Lavergne,"Laboratoire d'Ecologie Alpine (LECA UMR 5553), Station Alpine Joseph Fourier (UMS 3370)",2009-05-04,Isère (FR). Gières. Campus universitaire. LECA,5.77719387687978,45.1933525663297,02_G11,18,11,2013,BGI,RSZ:RSZAXPI001341-40
PHA003350,ERS8752007,3350,PhyloAlps,Orthoskim,Erica tetralix L.,Ericaceae,49144,,living plant material,Sonja Wipf,"Swiss Federal Institute for Forest, Snow and Landscape Research (WSL)",2010-10-04,"Perth and Kinross, UK",-4.30138888888889,56.5213888888889,43_D09,22,7.04,2016-01-14,Genoscope,BGN_KBH
PHA004642,ERS8752015,4642,PhyloAlps,Orthoskim,Hottonia palustris L.,Primulaceae,175037,,living plant material,Gilles Pache ,Conservatoire Botanique National Alpin (CBNA),2010-09-03,"France (FR). Macon, Manziat.",4.92172,46.3618,S1317,16,26.5,2017-12,Fasteris,GWM:1240
PHA004756,ERS8752022,4756,PhyloAlps,Orthoskim,Impatiens balfourii Hooker fil.,Balsaminaceae,127121,GR003971,living plant material,Stefan Eggenberg,Info Flora,2009-08-08,Ticino (CH). Locarno District. Arcegno,8.74599671,46.1519124,13_D09,16,21.52,2015-03-18,Genoscope,BGN_BKS
PHA004757,ERS8752028,4757,PhyloAlps,Orthoskim,Impatiens balsamina L.,Balsaminaceae,63779,GR004115,living plant material,Adrian Möhl,Info Flora,2012-08-20,Deutschland (DE). München. Botanischer Garten.,11.500833,48.162421,29_G11,16,22.32,2015-06-11,Genoscope,BGN_EMI
PHA004762,ERS8752035,4762,PhyloAlps,Orthoskim,Impatiens noli-tangere L.,Balsaminaceae,127129,GR004923,living plant material,John Spillmann,"Swiss Federal Institute for Forest, Snow and Landscape Research (WSL)",2009-07-14,Kanton St. Gallen (CH). Wahlkreis Werdenberg. Sennwald,9.486972,47.265692,13_E09,6,7.64,2015-05-06,Genoscope,BGN_FGQ
PHA004764,ERS8752041,4764,PhyloAlps,Orthoskim,Impatiens parviflora DC.,Balsaminaceae,191132,GR002113,living plant material,Linda Feichtinger,"Swiss Federal Institute for Forest, Snow and Landscape Research (WSL)",2009-07-21,Kanton Aargau (CH). Bezirk Bremgarten. Widen,8.362814,47.372842,29_H11,18,32.88,2015-06-11,Genoscope,BGN_EMK
PHA005438,ERS8752048,5438,PhyloAlps,Orthoskim,Loiseleuria procumbens (L.) Loisel.,Ericaceae,45912,GR000789,living plant material,"Laboratoire d'Ecologie Alpine (LECA UMR 5553), Parc National des Ecrins","Laboratoire d'Ecologie Alpine (LECA UMR 5553), Parc National des Ecrins",NA,Isère (FR). Ornon. La Grenonière,5.95642790361496,45.0560571888614,03_C06,20,4.84,2013,BGI,RSZ:RSZAXPI001346-52
