"Project_name","Tromso_herbarium_code","BOLD_code","Species","Family","NCBI_TaxonID","NCBI_corrected_TaxonID","NCBI_TaxonID_note","Collection_date","Collection_month","Sample_collector","Sampling_location","Sampling_latitude","Sampling_longitude","Sample_age_when_extracted","Weight_of_extracted_material","Extraction_concentration_(ng/uL)","library","read_count","Chloroplast_length","Chloroplast_contigs","Chloroplast_coverage","nrDNA_length","nrDNA_contigs","nrDNA_coverage","CORRECTION","CORRECTION_COMMENT"
"batch01","TROM_V_89484","PNOR1342-18","Carex lasiocarpa","Cyperaceae",241213,241213,,2004-07-08,"July","Bjerke, Jarle W.","Norway, Andoya E, ca. 1,3 km W of Breivik.",69.2118,16.0692,14,0.0353,19.1,"CDM:ATX",5344420,"NA","NA","NA",8028,1,262.5,0,
"batch01","TROM_V_89485","NNOR2044-16","Festuca rubra","Poaceae",52153,52153,,2004-07-08,"July","Bjerke, Jarle W.","Norway, Andoy, Nordland, Andoya E, ca. 1,3 km W of Breivik.",69.2118,16.0692,12,0.0194,52.5,"BMB:HF",6288040,99704,21,15.2,6231,1,34.1,0,
"batch01","TROM_V_89490","NNOR2045-16","Carex echinata","Cyperaceae",234467,234467,,2004-07-08,"July","Bjerke, Jarle W.","Norway, Andoy, Nordland, Andoya E, about 1,3 km W of Breivik.",69.2118,16.0692,12,0.0365,13.5,"BMB:HK",10323160,"NA","NA","NA",7560,1,511,0,
"batch01","TROM_V_89446","NNOR2042-16","Trichophorum cespitosum","Cyperaceae",76515,76515,,2004-07-08,"July","Bjerke, Jarle W.","Norway, Andoy, Nordland, Andoya E, c. 13 km W of Breivik.",69.2118,16.0692,12,0.047,16,"BMB:KB",5932640,"NA","NA","NA",7619,1,215.1,0,
"batch01","TROM_V_89624","PNOR1606-18","Ranunculus reptans","Ranunculaceae",286986,286986,,2004-07-10,"July","Bjerke, Jarle W.; Elverland, Ellen","Norway, Lenvik, Troms, Senja, Stonnesbotn, Bukkedalselva. (Bukke-elva).",69.4427,17.8332,14,0.0132,8.8,"CDM:AGP",8826348,174359,1,34.8,8862,1,48.3,0,
"batch01","TROM_V_149851","PNOR716-16","Alchemilla mollis","Rosaceae",32218,32218,,2004-07-16,"July","Sortland, Andy","Norway, Tromso, Tromso, Tromsoya: ved Telegrafbukta.",69.6344,18.9012,14,0.0202,6.62,"BXA:CAF",16483546,56626,31,16.4,"NA","NA","NA",0,
"batch01","TROM_V_133129","PNOR378-16","Aconitum napellus","Ranunculaceae",112591,112591,,2004-07-18,"July","Morkved, Brynhild","Norway, Ibestad, Troms, Sorvik. Forvillet naer det gamle fergeleiet",68.7966,17.2176,13,0.0203,31.7,"BXA:ALS",3816896,128974,6,17.4,6408,1,56.2,0,
"batch01","TROM_V_200693","PNOR1371-18","Carex scirpoidea","Cyperaceae",69867,69867,,2004-07-19,"July","Westergaard, Kristine","Greenland, Tasiusaq.",73.3731,-56.0497,14,0.0243,21.2,"CDM:ARD",12482120,"NA","NA","NA",7099,1,725.2,0,
"batch01","TROM_V_89573","PNOR190-16","Agrostis mertensii","Poaceae",345918,345918,,2004-07-22,"July","Bjerke, Jarle W.","Norway, Masoy, Finnmark, Snefjorden, Austre Middagsfjellet V.",70.8009,24.3932,14,0.0183,36.8,"BXA:ARR",6980448,7692,3,9.3,"NA","NA","NA",0,
"batch01","TROM_V_960083","PNOR578-16","Brassica rapa subsp. campestris","Brassicaceae",145471,145471,,2004-07-23,"July","Alm, Torbjorn; Gamst, Unni Bjerke","Norway, Hammerfest, Finnmark, Kvaloya: Hammerfest, pa ostsiden av Salen, i lia mot Storvannet.",70.6584,23.6925,13,0.0298,15.6,"BXA:AFA",8929610,153505,1,888.4,6980,1,3279,0,
